2025-12-01 12:16:58 | INFO     | KaliToolAutoBot | Loaded manifest for Masscan/masscan
2025-12-01 17:32:43 | INFO     | KaliToolAutoBot | Loaded manifest for Ffuf/ffuf
2025-12-01 17:33:02 | INFO     | KaliToolAutoBot | Loaded manifest for Nmap/ndiff
2025-12-01 17:33:21 | INFO     | KaliToolAutoBot | Loaded manifest for Nmap/nmap
2025-12-01 17:51:19 | INFO     | KaliToolAutoBot | Loaded manifest for Nmap/ncat
2025-12-01 17:52:41 | INFO     | KaliToolAutoBot | Loaded manifest for Nmap/ndiff
2025-12-01 17:53:42 | INFO     | KaliToolAutoBot | Loaded manifest for Nmap/nping
2025-12-01 17:55:45 | INFO     | KaliToolAutoBot | Loaded manifest for Nmap/ndiff
2025-12-01 17:56:45 | INFO     | KaliToolAutoBot | Loaded manifest for Nmap/zenmap
2025-12-01 17:56:45 | INFO     | tools.Nmap.zenmap_adapter | Configuring zenmap
2025-12-01 17:56:57 | INFO     | KaliToolAutoBot | Loaded manifest for Nmap/ndiff
2025-12-01 17:57:51 | INFO     | KaliToolAutoBot | Loaded manifest for Nmap/zenmap
2025-12-01 17:57:51 | INFO     | tools.Nmap.zenmap_adapter | Configuring zenmap
2025-12-01 18:01:36 | INFO     | KaliToolAutoBot | Loaded manifest for Ffuf/ffuf
2025-12-01 18:46:17 | INFO     | KaliToolAutoBot | Loaded manifest for Nmap/nmap
2025-12-01 18:53:36 | INFO     | KaliToolAutoBot | Loaded manifest for Nmap/nmap
2025-12-01 19:02:48 | INFO     | KaliToolAutoBot | Loaded manifest for Ffuf/ffuf
2025-12-01 19:04:11 | INFO     | KaliToolAutoBot | Loaded manifest for Ffuf/ffuf
2025-12-01 19:16:45 | INFO     | KaliToolAutoBot | Loaded manifest for Ffuf/ffuf
2025-12-01 19:16:52 | INFO     | KaliToolAutoBot | Loaded manifest for Masscan/masscan
2025-12-01 19:23:07 | INFO     | KaliToolAutoBot | Loaded manifest for Masscan/masscan
2025-12-01 19:24:05 | INFO     | tools.Masscan.masscan_adapter | Executing: masscan -p 8080,9090
2025-12-01 19:24:05 | ERROR    | tools.Masscan.masscan_adapter | masscan binary not found in PATH.
2025-12-01 19:36:23 | INFO     | KaliToolAutoBot | Loaded manifest for Masscan/masscan
2025-12-01 19:36:45 | ERROR    | KaliToolAutoBot | Engine error: [ERROR] YAML manifest 'yaml\Whois\mkpasswd.yaml' must have either (tool/command) or (tool_id/command_id)
2025-12-01 19:37:35 | ERROR    | KaliToolAutoBot | Engine error: [ERROR] YAML manifest 'yaml\Whois\whois.yaml' must have either (tool/command) or (tool_id/command_id)
2025-12-01 19:45:30 | INFO     | KaliToolAutoBot | Loaded manifest for Whois/mkpasswd
2025-12-01 19:45:31 | ERROR    | KaliToolAutoBot | Adapter error: MkpasswdAdapter.execute() missing 1 required positional argument: 'cmd_list'
2025-12-01 19:46:00 | INFO     | KaliToolAutoBot | Loaded manifest for Whois/whois
2025-12-01 19:48:07 | INFO     | KaliToolAutoBot | Loaded manifest for Whois/whois
2025-12-01 19:48:14 | INFO     | KaliToolAutoBot | Loaded manifest for Whois/mkpasswd
2025-12-01 19:48:14 | ERROR    | KaliToolAutoBot | Adapter error: MkpasswdAdapter.execute() missing 1 required positional argument: 'cmd_list'
2025-12-01 20:07:22 | INFO     | KaliToolAutoBot | Loaded manifest for Whois/mkpasswd
2025-12-01 20:08:33 | INFO     | KaliToolAutoBot | Loaded manifest for Whois/mkpasswd
2025-12-01 20:08:50 | INFO     | KaliToolAutoBot | Loaded manifest for Whois/mkpasswd
